周波数 (Hz)	レベル (dB)
2.929688	-60.529938
5.859375	-60.362213
8.789062	-58.861309
11.718750	-60.083969
14.648438	-57.271103
17.578125	-60.001587
20.507812	-59.760040
23.437500	-56.768135
26.367188	-59.982117
29.296875	-58.087105
32.226562	-60.489475
35.156250	-60.473293
38.085938	-59.483746
41.015625	-60.564697
43.945312	-60.293312
46.875000	-60.670094
49.804688	-59.804909
52.734375	-60.238243
55.664062	-60.407967
58.593750	-60.283333
61.523438	-60.363926
64.453125	-60.326290
67.382812	-60.288719
70.312500	-60.355171
73.242188	-60.256966
76.171875	-60.300907
79.101562	-60.132416
82.031250	-60.155045
84.960938	-60.219738
87.890625	-60.231110
90.820312	-60.359169
93.750000	-59.933308
96.679688	-60.010471
99.609375	-60.017342
102.539062	-59.962360
105.468750	-59.947525
108.398438	-59.887352
111.328125	-59.765533
114.257812	-59.806713
117.187500	-59.773140
120.117188	-59.695118
123.046875	-59.680336
125.976562	-59.625446
128.906250	-59.573967
131.835938	-59.515099
134.765625	-59.465557
137.695312	-59.408413
140.625000	-59.339943
143.554688	-59.298801
146.484375	-59.228901
149.414062	-59.136127
152.343750	-59.120705
155.273438	-59.049633
158.203125	-58.989334
161.132812	-58.865097
164.062500	-58.850334
166.992188	-58.796440
169.921875	-58.715775
172.851562	-58.651775
175.781250	-58.586567
178.710938	-58.509331
181.640625	-58.453400
184.570312	-58.360840
187.500000	-58.304211
190.429688	-58.154675
193.359375	-58.085651
196.289062	-58.026917
199.218750	-57.944775
202.148438	-57.856365
205.078125	-57.765327
208.007812	-57.670250
210.937500	-57.594379
213.867188	-57.492363
216.796875	-57.399090
219.726562	-57.269512
222.656250	-57.152775
225.585938	-57.093937
228.515625	-56.992218
231.445312	-56.891590
234.375000	-56.750526
237.304688	-56.633686
240.234375	-56.541962
243.164062	-56.425770
246.093750	-56.311310
249.023438	-56.186466
251.953125	-56.065872
254.882812	-55.945614
257.812500	-55.818573
260.742188	-55.693413
263.671875	-55.558025
266.601562	-55.431637
269.531250	-55.295521
272.460938	-55.155228
275.390625	-55.013077
278.320312	-54.870029
281.250000	-54.716461
284.179688	-54.572807
287.109375	-54.419792
290.039062	-54.260311
292.968750	-54.103943
295.898438	-53.938248
298.828125	-53.779091
301.757812	-53.567818
304.687500	-53.392872
307.617188	-53.225510
310.546875	-53.030750
313.476562	-52.844460
316.406250	-52.656849
319.335938	-52.447685
322.265625	-52.253239
325.195312	-52.035912
328.125000	-51.818550
331.054688	-51.593361
333.984375	-51.355904
336.914062	-51.131790
339.843750	-50.872375
342.773438	-50.633072
345.703125	-50.380211
348.632812	-50.108902
351.562500	-49.835419
354.492188	-49.552059
357.421875	-49.261566
360.351562	-48.949314
363.281250	-48.625546
366.210938	-48.291748
369.140625	-47.925724
372.070312	-47.580215
375.000000	-47.215065
377.929688	-46.830933
380.859375	-46.432892
383.789062	-45.997147
386.718750	-45.545250
389.648438	-45.064091
392.578125	-44.549129
395.507812	-44.024517
398.437500	-43.431606
401.367188	-42.821251
404.296875	-42.152523
407.226562	-41.434059
410.156250	-40.646652
413.085938	-39.796459
416.015625	-38.833637
418.945312	-37.747738
421.875000	-36.520485
424.804688	-35.082775
427.734375	-33.355095
430.664062	-31.202789
433.593750	-28.316645
436.523438	-23.785185
439.453125	-14.837808
442.382812	-12.857099
445.312500	-23.111277
448.242188	-27.883736
451.171875	-30.819824
454.101562	-33.111336
457.031250	-34.876209
459.960938	-36.340199
462.890625	-37.603752
465.820312	-38.681274
468.750000	-39.651775
