周波数 (Hz)	レベル (dB)
2.929688	-112.574615
5.859375	-111.740593
8.789062	-116.505997
11.718750	-126.260063
14.648438	-115.958870
17.578125	-114.473312
20.507812	-119.973068
23.437500	-125.823723
26.367188	-115.755440
29.296875	-115.480339
32.226562	-120.655579
35.156250	-117.063377
38.085938	-112.570892
41.015625	-111.739723
43.945312	-112.730949
46.875000	-113.248672
49.804688	-113.131416
52.734375	-114.541832
55.664062	-118.883209
58.593750	-126.297096
61.523438	-123.985619
64.453125	-120.351212
67.382812	-118.362495
70.312500	-117.340164
73.242188	-116.820770
76.171875	-116.545799
79.101562	-116.594299
82.031250	-117.366882
84.960938	-119.754356
87.890625	-121.718277
90.820312	-118.294098
93.750000	-116.346863
96.679688	-117.476341
99.609375	-120.985405
102.539062	-121.926826
105.468750	-121.042862
108.398438	-123.547516
111.328125	-133.329391
114.257812	-136.493362
117.187500	-135.047150
120.117188	-139.417740
123.046875	-128.135880
125.976562	-126.745834
128.906250	-127.350014
131.835938	-124.537415
134.765625	-123.714111
137.695312	-127.027496
140.625000	-133.841309
143.554688	-132.214127
146.484375	-130.072540
149.414062	-128.611343
152.343750	-130.615723
155.273438	-142.272888
158.203125	-128.755997
161.132812	-124.812050
164.062500	-125.099586
166.992188	-128.691635
169.921875	-137.731155
172.851562	-140.460312
175.781250	-132.301270
178.710938	-129.913849
181.640625	-130.218689
184.570312	-130.415909
187.500000	-127.199669
190.429688	-115.052734
193.359375	-96.363251
196.289062	-92.648163
199.218750	-99.455070
202.148438	-121.188446
205.078125	-130.095474
208.007812	-130.425949
210.937500	-128.098709
213.867188	-128.450729
216.796875	-131.394913
219.726562	-129.212433
222.656250	-126.206757
225.585938	-125.732018
228.515625	-127.191963
231.445312	-130.556763
234.375000	-135.688919
237.304688	-133.433014
240.234375	-129.476807
243.164062	-128.908356
246.093750	-132.771271
249.023438	-134.601257
251.953125	-128.993744
254.882812	-127.340904
257.812500	-123.926804
260.742188	-123.383888
263.671875	-138.903656
266.601562	-118.550102
269.531250	-114.278114
272.460938	-118.346916
275.390625	-118.378059
278.320312	-107.982582
281.250000	-105.055466
284.179688	-105.873871
287.109375	-110.372238
290.039062	-118.064598
292.968750	-115.868446
295.898438	-114.740417
298.828125	-116.117126
301.757812	-118.197533
304.687500	-119.953400
307.617188	-120.837212
310.546875	-121.055397
313.476562	-120.575851
316.406250	-120.184166
319.335938	-120.944733
322.265625	-122.099663
325.195312	-121.822632
328.125000	-121.412796
331.054688	-119.839874
333.984375	-117.431541
336.914062	-117.282928
339.843750	-116.705116
342.773438	-114.641922
345.703125	-113.675781
348.632812	-110.997093
351.562500	-108.346519
354.492188	-105.701820
357.421875	-103.772202
360.351562	-103.378830
363.281250	-100.032463
366.210938	-96.375404
369.140625	-94.102295
372.070312	-90.975708
375.000000	-87.240540
377.929688	-82.285812
380.859375	-75.875755
383.789062	-67.507133
386.718750	-53.971912
389.648438	-30.845850
392.578125	-27.264812
395.507812	-35.973995
398.437500	-60.205074
401.367188	-71.183548
404.296875	-78.500702
407.226562	-83.312691
410.156250	-87.030319
413.085938	-91.965660
416.015625	-93.920067
418.945312	-93.777321
421.875000	-97.370766
424.804688	-101.547333
427.734375	-102.201080
430.664062	-106.174156
433.593750	-101.796532
436.523438	-99.627892
439.453125	-101.364632
442.382812	-102.271179
445.312500	-101.961288
448.242188	-104.981606
451.171875	-107.723221
454.101562	-105.334404
457.031250	-105.988319
459.960938	-108.613686
462.890625	-110.260330
465.820312	-113.806549
468.750000	-125.381546
471.679688	-118.299622
474.609375	-115.754639
477.539062	-118.628983
480.468750	-121.621979
483.398438	-120.143547
486.328125	-118.478920
489.257812	-116.253006
492.187500	-117.758896
495.117188	-124.686783
498.046875	-121.703476
500.976562	-121.499695
503.906250	-125.333755
506.835938	-121.154503
509.765625	-116.487228
512.695312	-113.621872
515.625000	-113.305443
518.554688	-115.262383
521.484375	-116.739098
524.414062	-116.289993
527.343750	-116.634850
530.273438	-118.165726
533.203125	-121.818115
536.132812	-137.789825
539.062500	-122.334091
541.992188	-119.672012
544.921875	-121.735291
547.851562	-118.298058
550.781250	-117.776184
553.710938	-130.231125
556.640625	-118.968048
559.570312	-115.480766
562.500000	-118.778259
565.429688	-117.445084
568.359375	-114.119255
571.289062	-114.225258
574.218750	-115.002129
577.148438	-117.561478
580.078125	-122.076706
583.007812	-108.239311
585.937500	-94.796455
588.867188	-93.786995
591.796875	-103.634590
594.726562	-120.215271
597.656250	-124.189644
600.585938	-118.606888
603.515625	-118.608086
606.445312	-123.466736
609.375000	-126.711411
612.304688	-121.117355
615.234375	-118.817169
618.164062	-118.717361
621.093750	-120.975449
624.023438	-123.375793
626.953125	-122.676102
629.882812	-125.185104
632.812500	-124.196388
635.742188	-119.605377
638.671875	-117.623016
641.601562	-117.571808
644.531250	-120.678299
647.460938	-117.837578
650.390625	-113.793953
653.320312	-113.435745
656.250000	-111.877983
659.179688	-109.676506
662.109375	-110.911583
665.039062	-117.368095
667.968750	-120.367607
670.898438	-111.456459
673.828125	-105.679810
676.757812	-103.395935
679.687500	-105.015961
682.617188	-112.945793
685.546875	-112.798622
688.476562	-109.312653
691.406250	-112.486336
694.335938	-113.341454
697.265625	-113.501823
700.195312	-119.139038
703.125000	-116.453575
706.054688	-112.583206
708.984375	-103.715813
711.914062	-100.234337
714.843750	-101.324593
717.773438	-107.588524
720.703125	-110.369919
723.632812	-107.422081
726.562500	-107.829468
729.492188	-108.521835
732.421875	-105.706886
735.351562	-103.270416
738.281250	-99.092201
741.210938	-95.214905
744.140625	-95.302063
747.070312	-97.620399
750.000000	-94.628136
752.929688	-91.860512
755.859375	-87.640747
758.789062	-84.718575
761.718750	-84.080025
764.648438	-81.330185
767.578125	-76.869499
770.507812	-71.885674
773.437500	-65.188332
776.367188	-56.098026
779.296875	-40.609825
782.226562	-24.118113
785.156250	-22.844152
788.085938	-34.708843
791.015625	-53.401764
793.945312	-63.310085
796.875000	-70.180473
799.804688	-75.360840
802.734375	-79.532417
805.664062	-83.798103
808.593750	-87.762482
811.523438	-90.523003
814.453125	-92.571388
817.382812	-92.268234
820.312500	-93.009117
823.242188	-94.922890
826.171875	-95.568001
829.101562	-97.522240
832.031250	-102.457260
834.960938	-105.509384
837.890625	-106.965370
840.820312	-108.232216
843.750000	-105.591858
846.679688	-104.866287
849.609375	-105.776886
852.539062	-106.634956
855.468750	-107.139503
858.398438	-108.211708
861.328125	-109.733879
864.257812	-111.576538
867.187500	-112.967636
870.117188	-109.429161
873.046875	-108.024574
875.976562	-112.709099
878.906250	-116.499352
881.835938	-107.030663
884.765625	-105.001709
887.695312	-105.989594
890.625000	-107.577896
893.554688	-107.066185
896.484375	-105.828705
899.414062	-106.237389
902.343750	-109.121323
905.273438	-113.041893
908.203125	-111.688705
911.132812	-108.489815
914.062500	-106.511459
916.992188	-106.275497
919.921875	-107.966003
922.851562	-112.037537
